"municipality_name_fi";"municipality_name_sv";"municipality_code";"region_name_fi";"region_name_sv"
"Espoo";"Esbo";"049";"Uusimaa";"Nyland"
"Hanko";"Hangö";"078";"Uusimaa";"Nyland"
"Helsinki";"Helsingfors";"091";"Uusimaa";"Nyland"
"Hyvinkää";"Hyvinge";"106";"Uusimaa";"Nyland"
"Inkoo";"Ingå";"149";"Uusimaa";"Nyland"
"Järvenpää";"Träskända";"186";"Uusimaa";"Nyland"
"Karjaa";"Karis";"220";"Uusimaa";"Nyland"
"Karjalohja";"Karislojo";"223";"Uusimaa";"Nyland"
"Karkkila";"Högfors";"224";"Uusimaa";"Nyland"
"Kauniainen";"Grankulla";"235";"Uusimaa";"Nyland"
"Kerava";"Kervo";"245";"Uusimaa";"Nyland"
"Kirkkonummi";"Kyrkslätt";"257";"Uusimaa";"Nyland"
"Lohja";"Lojo";"444";"Uusimaa";"Nyland"
"Mäntsälä";"";"505";"Uusimaa";"Nyland"
"Nummi-Pusula";"";"540";"Uusimaa";"Nyland"
"Nurmijärvi";"";"543";"Uusimaa";"Nyland"
"Pohja";"Pojo";"606";"Uusimaa";"Nyland"
"Pornainen";"Borgnäs";"611";"Uusimaa";"Nyland"
"Sammatti";"";"737";"Uusimaa";"Nyland"
"Siuntio";"Sjundeå";"755";"Uusimaa";"Nyland"
"Tammisaari";"Ekenäs";"835";"Uusimaa";"Nyland"
"Tuusula";"Tusby";"858";"Uusimaa";"Nyland"
"Vantaa";"Vanda";"092";"Uusimaa";"Nyland"
"Vihti";"Vichtis";"927";"Uusimaa";"Nyland"
"Askola";"";"018";"Itä-Uusimaa";"Östra Nyland"
"Lapinjärvi";"Lappträsk";"407";"Itä-Uusimaa";"Östra Nyland"
"Liljendal";"Liljendal";"424";"Itä-Uusimaa";"Östra Nyland"
"Loviisa";"Lovisa";"434";"Itä-Uusimaa";"Östra Nyland"
"Myrskylä";"Mörskom";"504";"Itä-Uusimaa";"Östra Nyland"
"Pernaja";"Perna";"585";"Itä-Uusimaa";"Östra Nyland"
"Porvoo";"Borgå";"638";"Itä-Uusimaa";"Östra Nyland"
"Pukkila";"";"616";"Itä-Uusimaa";"Östra Nyland"
"Ruotsinpyhtää";"Strömfors";"701";"Itä-Uusimaa";"Östra Nyland"
"Sipoo";"Sibbo";"753";"Itä-Uusimaa";"Östra Nyland"
"Alastaro";"";"006";"Varsinais-Suomi";"Egentliga Finland"
"Askainen";"Villnäs";"017";"Varsinais-Suomi";"Egentliga Finland"
"Aura";"";"019";"Varsinais-Suomi";"Egentliga Finland"
"Dragsfjärd";"";"040";"Varsinais-Suomi";"Egentliga Finland"
"Halikko";"";"073";"Varsinais-Suomi";"Egentliga Finland"
"Houtskari";"Houtskär";"101";"Varsinais-Suomi";"Egentliga Finland"
"Iniö";"";"150";"Varsinais-Suomi";"Egentliga Finland"
"Kaarina";"S:t Karins";"202";"Varsinais-Suomi";"Egentliga Finland"
"Kemiö";"Kimito";"243";"Varsinais-Suomi";"Egentliga Finland"
"Kiikala";"";"252";"Varsinais-Suomi";"Egentliga Finland"
"Kisko";"";"259";"Varsinais-Suomi";"Egentliga Finland"
"Korppoo";"Korpo";"279";"Varsinais-Suomi";"Egentliga Finland"
"Koski Tl";"";"284";"Varsinais-Suomi";"Egentliga Finland"
"Kustavi";"Gustavs";"304";"Varsinais-Suomi";"Egentliga Finland"
"Kuusjoki";"";"308";"Varsinais-Suomi";"Egentliga Finland"
"Laitila";"";"400";"Varsinais-Suomi";"Egentliga Finland"
"Lemu";"";"419";"Varsinais-Suomi";"Egentliga Finland"
"Lieto";"Lundo";"423";"Varsinais-Suomi";"Egentliga Finland"
"Loimaa";"";"430";"Varsinais-Suomi";"Egentliga Finland"
"Marttila";"";"480";"Varsinais-Suomi";"Egentliga Finland"
"Masku";"";"481";"Varsinais-Suomi";"Egentliga Finland"
"Mellilä";"";"482";"Varsinais-Suomi";"Egentliga Finland"
"Merimasku";"";"485";"Varsinais-Suomi";"Egentliga Finland"
"Mietoinen";"";"490";"Varsinais-Suomi";"Egentliga Finland"
"Muurla";"";"501";"Varsinais-Suomi";"Egentliga Finland"
"Mynämäki";"";"503";"Varsinais-Suomi";"Egentliga Finland"
"Naantali";"Nådendal";"529";"Varsinais-Suomi";"Egentliga Finland"
"Nauvo";"Nagu";"533";"Varsinais-Suomi";"Egentliga Finland"
"Nousiainen";"Nousis";"538";"Varsinais-Suomi";"Egentliga Finland"
"Oripää";"";"561";"Varsinais-Suomi";"Egentliga Finland"
"Paimio";"Pemar";"577";"Varsinais-Suomi";"Egentliga Finland"
"Parainen";"Pargas";"573";"Varsinais-Suomi";"Egentliga Finland"
"Perniö";"Bjärnå";"586";"Varsinais-Suomi";"Egentliga Finland"
"Pertteli";"";"587";"Varsinais-Suomi";"Egentliga Finland"
"Piikkiö";"Pikis";"602";"Varsinais-Suomi";"Egentliga Finland"
"Pyhäranta";"";"631";"Varsinais-Suomi";"Egentliga Finland"
"Pöytyä";"";"636";"Varsinais-Suomi";"Egentliga Finland"
"Raisio";"Reso";"680";"Varsinais-Suomi";"Egentliga Finland"
"Rusko";"";"704";"Varsinais-Suomi";"Egentliga Finland"
"Rymättylä";"Rimito";"705";"Varsinais-Suomi";"Egentliga Finland"
"Salo";"";"734";"Varsinais-Suomi";"Egentliga Finland"
"Sauvo";"Sagu";"738";"Varsinais-Suomi";"Egentliga Finland"
"Somero";"";"761";"Varsinais-Suomi";"Egentliga Finland"
"Suomusjärvi";"";"776";"Varsinais-Suomi";"Egentliga Finland"
"Särkisalo";"Finby";"784";"Varsinais-Suomi";"Egentliga Finland"
"Taivassalo";"Tövsala";"833";"Varsinais-Suomi";"Egentliga Finland"
"Tarvasjoki";"";"838";"Varsinais-Suomi";"Egentliga Finland"
"Turku";"Åbo";"853";"Varsinais-Suomi";"Egentliga Finland"
"Uusikaupunki";"Nystad";"895";"Varsinais-Suomi";"Egentliga Finland"
"Vahto";"";"906";"Varsinais-Suomi";"Egentliga Finland"
"Vehmaa";"";"918";"Varsinais-Suomi";"Egentliga Finland"
"Velkua";"";"920";"Varsinais-Suomi";"Egentliga Finland"
"Västanfjärd";"";"923";"Varsinais-Suomi";"Egentliga Finland"
"Yläne";"";"979";"Varsinais-Suomi";"Egentliga Finland"
"Eura";"";"050";"Satakunta";"Satakunta"
"Eurajoki";"Euraåminne";"051";"Satakunta";"Satakunta"
"Harjavalta";"";"079";"Satakunta";"Satakunta"
"Honkajoki";"";"099";"Satakunta";"Satakunta"
"Huittinen";"";"102";"Satakunta";"Satakunta"
"Jämijärvi";"";"181";"Satakunta";"Satakunta"
"Kankaanpää";"";"214";"Satakunta";"Satakunta"
"Karvia";"";"230";"Satakunta";"Satakunta"
"Kiikoinen";"";"254";"Satakunta";"Satakunta"
"Kiukainen";"";"262";"Satakunta";"Satakunta"
"Kodisjoki";"";"266";"Satakunta";"Satakunta"
"Kokemäki";"Kumo";"271";"Satakunta";"Satakunta"
"Köyliö";"Kjulo";"319";"Satakunta";"Satakunta"
"Lappi";"";"406";"Satakunta";"Satakunta"
"Lavia";"";"413";"Satakunta";"Satakunta"
"Luvia";"";"442";"Satakunta";"Satakunta"
"Merikarvia";"Sastmola";"484";"Satakunta";"Satakunta"
"Nakkila";"";"531";"Satakunta";"Satakunta"
"Noormarkku";"Norrmark";"537";"Satakunta";"Satakunta"
"Pomarkku";"Påmark";"608";"Satakunta";"Satakunta"
"Pori";"Björneborg";"609";"Satakunta";"Satakunta"
"Punkalaidun";"";"619";"Pirkanmaa";"Birkaland"
"Rauma";"Raumo";"684";"Satakunta";"Satakunta"
"Siikainen";"";"747";"Satakunta";"Satakunta"
"Säkylä";"";"783";"Satakunta";"Satakunta"
"Ulvila";"Ulvsby";"886";"Satakunta";"Satakunta"
"Vampula";"";"913";"Satakunta";"Satakunta"
"Forssa";"";"061";"Kanta-Häme";"Egentliga Tavastland"
"Hattula";"";"082";"Kanta-Häme";"Egentliga Tavastland"
"Hauho";"";"083";"Kanta-Häme";"Egentliga Tavastland"
"Hausjärvi";"";"086";"Kanta-Häme";"Egentliga Tavastland"
"Humppila";"";"103";"Kanta-Häme";"Egentliga Tavastland"
"Hämeenlinna";"Tavastehus";"109";"Kanta-Häme";"Egentliga Tavastland"
"Janakkala";"";"165";"Kanta-Häme";"Egentliga Tavastland"
"Jokioinen";"Jockis";"169";"Kanta-Häme";"Egentliga Tavastland"
"Kalvola";"";"210";"Kanta-Häme";"Egentliga Tavastland"
"Lammi";"";"401";"Kanta-Häme";"Egentliga Tavastland"
"Loppi";"";"433";"Kanta-Häme";"Egentliga Tavastland"
"Renko";"";"692";"Kanta-Häme";"Egentliga Tavastland"
"Riihimäki";"";"694";"Kanta-Häme";"Egentliga Tavastland"
"Tammela";"";"834";"Kanta-Häme";"Egentliga Tavastland"
"Tuulos";"";"855";"Kanta-Häme";"Egentliga Tavastland"
"Ypäjä";"";"981";"Kanta-Häme";"Egentliga Tavastland"
"Hämeenkyrö";"Tavastkyrö";"108";"Pirkanmaa";"Birkaland"
"Ikaalinen";"Ikalis";"143";"Pirkanmaa";"Birkaland"
"Juupajoki";"";"177";"Pirkanmaa";"Birkaland"
"Kangasala";"";"211";"Pirkanmaa";"Birkaland"
"Kihniö";"";"250";"Pirkanmaa";"Birkaland"
"Kuhmalahti";"";"289";"Pirkanmaa";"Birkaland"
"Kuru";"";"303";"Pirkanmaa";"Birkaland"
"Kylmäkoski";"";"310";"Pirkanmaa";"Birkaland"
"Lempäälä";"";"418";"Pirkanmaa";"Birkaland"
"Luopioinen";"";"439";"Pirkanmaa";"Birkaland"
"Längelmäki";"";"443";"Pirkanmaa";"Birkaland"
"Mouhijärvi";"";"493";"Pirkanmaa";"Birkaland"
"Mänttä";"";"506";"Pirkanmaa";"Birkaland"
"Nokia";"";"536";"Pirkanmaa";"Birkaland"
"Orivesi";"";"562";"Pirkanmaa";"Birkaland"
"Parkano";"";"581";"Pirkanmaa";"Birkaland"
"Pirkkala";"Birkala";"604";"Pirkanmaa";"Birkaland"
"Pälkäne";"";"635";"Pirkanmaa";"Birkaland"
"Ruovesi";"";"702";"Pirkanmaa";"Birkaland"
"Suodenniemi";"";"772";"Pirkanmaa";"Birkaland"
"Tampere";"Tammerfors";"837";"Pirkanmaa";"Birkaland"
"Toijala";"";"864";"Pirkanmaa";"Birkaland"
"Urjala";"";"887";"Pirkanmaa";"Birkaland"
"Valkeakoski";"";"908";"Pirkanmaa";"Birkaland"
"Vammala";"";"912";"Pirkanmaa";"Birkaland"
"Vesilahti";"";"922";"Pirkanmaa";"Birkaland"
"Viiala";"";"928";"Pirkanmaa";"Birkaland"
"Viljakkala";"";"932";"Pirkanmaa";"Birkaland"
"Vilppula";"";"933";"Pirkanmaa";"Birkaland"
"Virrat";"Virdois";"936";"Pirkanmaa";"Birkaland"
"Ylöjärvi";"";"980";"Pirkanmaa";"Birkaland"
"Äetsä";"";"988";"Pirkanmaa";"Birkaland"
"Artjärvi";"Artsjö";"015";"Päijät-Häme";"Päijänne-Tavastland"
"Asikkala";"";"016";"Päijät-Häme";"Päijänne-Tavastland"
"Hartola";"";"081";"Päijät-Häme";"Päijänne-Tavastland"
"Heinola";"";"111";"Päijät-Häme";"Päijänne-Tavastland"
"Hollola";"";"098";"Päijät-Häme";"Päijänne-Tavastland"
"Hämeenkoski";"";"283";"Päijät-Häme";"Päijänne-Tavastland"
"Kärkölä";"";"316";"Päijät-Häme";"Päijänne-Tavastland"
"Lahti";"Lahtis";"398";"Päijät-Häme";"Päijänne-Tavastland"
"Nastola";"";"532";"Päijät-Häme";"Päijänne-Tavastland"
"Orimattila";"";"560";"Päijät-Häme";"Päijänne-Tavastland"
"Padasjoki";"";"576";"Päijät-Häme";"Päijänne-Tavastland"
"Sysmä";"";"781";"Päijät-Häme";"Päijänne-Tavastland"
"Anjalankoski";"";"754";"Kymenlaakso";"Kymmenedalen"
"Elimäki";"";"044";"Kymenlaakso";"Kymmenedalen"
"Hamina";"Fredrikshamn";"075";"Kymenlaakso";"Kymmenedalen"
"Iitti";"";"142";"Kymenlaakso";"Kymmenedalen"
"Jaala";"";"163";"Kymenlaakso";"Kymmenedalen"
"Kotka";"";"285";"Kymenlaakso";"Kymmenedalen"
"Kouvola";"";"286";"Kymenlaakso";"Kymmenedalen"
"Kuusankoski";"";"306";"Kymenlaakso";"Kymmenedalen"
"Miehikkälä";"";"489";"Kymenlaakso";"Kymmenedalen"
"Pyhtää";"Pyttis";"624";"Kymenlaakso";"Kymmenedalen"
"Valkeala";"";"909";"Kymenlaakso";"Kymmenedalen"
"Virolahti";"";"935";"Kymenlaakso";"Kymmenedalen"
"Imatra";"";"153";"Etelä-Karjala";"Södra Karelen"
"Joutseno";"";"173";"Etelä-Karjala";"Södra Karelen"
"Lappeenranta";"Villmanstrand";"405";"Etelä-Karjala";"Södra Karelen"
"Lemi";"";"416";"Etelä-Karjala";"Södra Karelen"
"Luumäki";"";"441";"Etelä-Karjala";"Södra Karelen"
"Parikkala";"";"580";"Etelä-Karjala";"Södra Karelen"
"Rautjärvi";"";"689";"Etelä-Karjala";"Södra Karelen"
"Ruokolahti";"";"700";"Etelä-Karjala";"Södra Karelen"
"Savitaipale";"";"739";"Etelä-Karjala";"Södra Karelen"
"Suomenniemi";"";"775";"Etelä-Karjala";"Södra Karelen"
"Taipalsaari";"";"831";"Etelä-Karjala";"Södra Karelen"
"Ylämaa";"";"978";"Etelä-Karjala";"Södra Karelen"
"Enonkoski";"";"046";"Etelä-Savo";"Södra Savolax"
"Haukivuori";"";"085";"Etelä-Savo";"Södra Savolax"
"Heinävesi";"";"090";"Etelä-Savo";"Södra Savolax"
"Hirvensalmi";"";"097";"Etelä-Savo";"Södra Savolax"
"Joroinen";"Jorois";"171";"Etelä-Savo";"Södra Savolax"
"Juva";"";"178";"Etelä-Savo";"Södra Savolax"
"Kangasniemi";"";"213";"Etelä-Savo";"Södra Savolax"
"Kerimäki";"";"246";"Etelä-Savo";"Södra Savolax"
"Mikkeli";"S:t Michel";"491";"Etelä-Savo";"Södra Savolax"
"Mäntyharju";"";"507";"Etelä-Savo";"Södra Savolax"
"Pertunmaa";"";"588";"Etelä-Savo";"Södra Savolax"
"Pieksänmaa";"";"640";"Etelä-Savo";"Södra Savolax"
"Pieksämäki";"";"593";"Etelä-Savo";"Södra Savolax"
"Punkaharju";"";"618";"Etelä-Savo";"Södra Savolax"
"Puumala";"";"623";"Etelä-Savo";"Södra Savolax"
"Rantasalmi";"";"681";"Etelä-Savo";"Södra Savolax"
"Ristiina";"";"696";"Etelä-Savo";"Södra Savolax"
"Savonlinna";"Nyslott";"740";"Etelä-Savo";"Södra Savolax"
"Savonranta";"";"741";"Etelä-Savo";"Södra Savolax"
"Sulkava";"";"768";"Etelä-Savo";"Södra Savolax"
